mode,hospitals,residents,avg_ms,min_ms,max_ms,avg_proposals,min_proposals,max_proposals
manual,25,50,0.7072666194289923,0.6190999411046505,0.8820998482406139,199.33333333333334,167,220
manual,50,100,3.7703999939064183,3.289000131189823,4.238300025463104,575.6666666666666,557,592
manual,75,150,6.155799919118484,4.562299931421876,8.518499787896872,1063,974,1111
manual,100,200,6.765233430390556,5.780300125479698,7.777899969369173,1934,1807,2036
manual,125,250,10.499066595608989,9.957500034943223,11.445499956607819,2785.6666666666665,2512,2950
manual,150,300,14.487400030096373,11.52250007726252,15.972099965438247,3983.6666666666665,3696,4335
